Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	àthènes	Athènes					
Remplacement	ATI	AUX					
Remplacement	atissi	aussi					
Remplacement	Atlalides	Attalides					
Remplacement	atlcnlion	attention					
Remplacement	attacbe	attache					
Remplacement	attiqiie	attique					
Remplacement	ATTlQIIES	ATTIQUES					
Concatenation	au- tre	autre					
Concatenation	au- tres	autres					
Concatenation	au. tre	autre					
Remplacement	au.v	aux					
Remplacement	Aufènge	Anfänge					
Remplacement	aujoiird'hui	aujourd’hui					
Remplacement	aulrcmcnl	autrement					
Remplacement	aulrcs	autres					
Remplacement	aulre	autre					
Remplacement	aulres	autres					
Remplacement	auoir	avoir	371				
Remplacement	Auoir	avoir	14				
Remplacement	auoit	avoit	269				
Remplacement	Auoit	avoit	27				
Remplacement	aUoit	avoit	1				
Remplacement	Aur/uste^	Auguste					
Remplacement	autet	autel					
Remplacement	auvel	autel					
Remplacement	auvour	autour					
Remplacement	aux([uels	auxquels					
Remplacement	avaienl	avaient					
Remplacement	avail	avait					
Remplacement	avanc^	avancé					
Remplacement	avanl	avant					
Remplacement	Avcllino1	Avellino 1					
Remplacement	avee	avec					
Remplacement	aviinl	avant					
Remplacement	avimn	aviron					
Remplacement	aviron#	avirons					
Remplacement	avnil	avait					
Remplacement	ayantordonné	ayant ordonné					
Remplacement	ba.salte	basalte					
Remplacement	balaille	bataille					
Remplacement	balaille,	bataille,					
Remplacement	balaille.	bataille.					
Remplacement	balailles	batailles					
Remplacement	balailles,	batailles,					
Remplacement	balailles.	batailles.					
Remplacement	bàlimenls	bâtiments					
Remplacement	bàlimeul	bâtiment					
Remplacement	bàlimrnls	bâtiments					
Remplacement	Baltcolus	Balteolus					
Remplacement	Baltcus	Balteus					
Remplacement	bar-bare	barbare					
Remplacement	bas-rcliefs	bas-reliefs					
Remplacement	bclb's	belles					
Remplacement	beai/coup	beaucoup					
Remplacement	Bernix-Arts	Beaux-Arts					
Remplacement	Bibl(!	Bible					
Remplacement	BibLiot^KApHiF	BIBLIOGRAPHIE					
Remplacement	BIBLIOTHfeQUE	BIBLIOTHÈQUE					
Remplacement	bicn	bien					
Remplacement	bîle	bile	2				
Remplacement	Birschfeld	Hirschfeld					
Concatenation	bis- tre	bistre					
Remplacement	bislorien	historien					
Remplacement	bisloriens	historiens					
Remplacement	ble	blé	89				
Remplacement	blennorrhagie	blennorragie	822				
Remplacement	Blennorrhagie	blennorragie	76				
Remplacement	blennorrHagie	blennorragie	2				
Concatenation	bleuâ. tre	bleuâtre					
Remplacement	Bliimner	Blümner					
Remplacement	bloe	bloc					
Remplacement	BlSmner	Blümner					
Remplacement	Blûmiier	Blümner					
Remplacement	BN	EN					
Remplacement	bo:'uf	boeuf					
Remplacement	Boeckli	Bœckh					
Remplacement	Bœckli	Bœckh					
Remplacement	boeuf	bœuf	454				
Remplacement	Boeuf	bœuf	38				
Remplacement	Boi	Roi					
